,id,title,image_url,price,rating,reviews,category
22,23,[행복여] 러빈유 스퀘어넥 블라우스 와이드 밴딩 팬츠 세트,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0e55/5eff05a674796b32bbea64ddc67aee586964eb0267f8418f4f8d3a1a827d.jpg,24000,5.0,41,woman_clothes
23,24,야오야오 여성용 루즈핏 시스루 셔츠,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/47cb/5db50343e261b6f01aa8ca3039bd6f321b8e5c47a86d89a63444f02839e9.jpg,9990,4.0,27,woman_clothes
24,25,쉬블림로브 시어서커 스퀘어넥 블라우스 칸다 GW1715,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/8c4a/733c543773096b1c268030b306c6bbadd3a1b238a769e0f88952f788099d.jpg,9900,4.5,529,woman_clothes
25,26,아피나르 여성용 릴렉스핏 풀스판 롱 데님 스커트,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1262819170101749-6b8015aa-0476-451c-bd62-012f7b250b79.jpg,15690,4.5,59,woman_clothes
26,27,"칸툰 발레코어룩 원피스 수영복 모노키니, 카키",https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4aa1/cacf5dc971701ff723d2c90fba9552cdbb30cf9faf34ab78d2198504b174.png,17930,5.0,48,woman_clothes
27,28,휠렉스 여성 여름 스퀘어넥 루즈핏 벌룬소매 블라우스 E1051,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/084b/e0ece786092e12666d251eb7450f10c3c5cea9c408a47b10b01ccc6f3e67.jpg,23000,4.5,86,woman_clothes
28,29,(2P) 바닐레이디 여성 아이스 끈나시 스포츠 브라 쿨 경량,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7214/3bb3b639c0ed0a290127f71df8f7d86d307bcc2ab3b27878330b9ebfb4bd.png,13500,4.0,433,woman_clothes
29,30,마쿠쿠 1+1 세트 브이넥 케이프 비치 비키니 루즈핏 커버 가오리핏 그물 펀칭 반팔 니트,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/13c1/ac724b4d5fedc1cf914e3aa2e08f3d59b6476dc4bffd8e9e7c100b31495e.jpg,17800,4.0,88,woman_clothes
30,31,네모엔룩 여성용 바스락맥시핀턱 벨트고리 장식 앞주름 캐주얼 A라인 맥시 롱 스커트 NL,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/1c89/9efeca4e2606602c11d3bdd8701aa32b6ba445d617444b6f7daa79b25b51.jpg,18900,4.5,108,woman_clothes
31,32,[행복여] 마카롱 벌룬 소매 스트링 밴딩 플레어 스커트 세트,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/cb89/47f65a5462370d76a7ba5edf707767910a1f776deed7cc681ccf425e1a9b.jpg,22900,4.5,100,woman_clothes
32,33,드로우데이즈 부유방 커버 나시 티셔츠 캡내장 일체형 스퀘어넥 크롭 나시,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a509/501ee32ecaf6f5dbeca1773c5f07ceca342884facd361da2edf67882465b.jpg,17500,5.0,136,woman_clothes
33,34,잘빠진 여성용 데일리 모찌 치마바지 0089,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/7458320310909462-63b00614-844e-4095-9437-865a26b18c3d.jpg,17900,4.5,3924,woman_clothes
34,35,이유무무 NB-69 끈나시 플라워원피스 플로럴원피스,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ce71/87a9367fd535967335faec55a38eeba1b2930b72146cd718817b313b51db.jpg,17800,4.0,50,woman_clothes
35,36,[1015마켓][#휴양지룩#XS~2XL#자체제작]홀리 민소매 롱 원피스,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/82ff/6a3926ee6a0a372357f9f13a9217a92dfead964af7c66c36c0a78dd1ccb1.jpg,23900,5.0,12,woman_clothes
36,37,홈켄 여성 와이드 밴딩 팬츠 아이스 바지,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b6cc/e8714d169dc43594801f3f1b3f0cc8f186aca956f1d6b1fa5d119b2fb853.png,13900,4.5,16,woman_clothes
37,38,[바네코] 레인보우캣 빅사이즈 여성 박시 롱 원피스 티,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2179/e0d51b0d2a11c8f1ba3a00362fa0e973b76e727c756f26cd1386ecf630cd.jpg,12800,5.0,11,woman_clothes
38,39,Ethel 여름 원피스 빅사이즈 반팔 원피스,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ae68/aa6d65ac3e565ad5eeb68995c66667fc273014d52f1eb27df5799d788d39.jpg,19800,5.0,63,woman_clothes
39,40,[행복여] 2장 구성 킵 레터링 루즈핏 세미 크롭 반팔 티셔츠,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f9ef/b6707846477b9088403b13e774dc15ddb62c8cc4927a0e35c6879a41be4f.jpg,15120,4.5,570,woman_clothes
40,41,데일로엔 여성 빈티지 멜빵 반집업 롱 원피스,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/71c9/559c770145d3a7fb02eb3ee6e4cb970b5dc6cde82fa513dd0da10aff7ccc.jpg,24900,5.0,53,woman_clothes
41,42,네모엔룩 여성용 플로럴나염 프린팅 페미닌 허리뒷밴딩 플레어 스커트 NL,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/595f/9f5b0bc6297361fb7ab8c09cfa3c78bf84189709005460f970a599293629.jpg,16900,4.5,304,woman_clothes
42,43,수비진 여성용 빈티지 사이드폴딩 롱 와이드 청바지 숏 ver SP7324-1,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/utgaifv8/9ddf768ef0d44a609657269ad2f104fa.jpg,28970,4.5,23,woman_clothes
43,44,세컨그라운드 여성용 스퀘어넥 스판 나시 티셔츠,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/jidezaeq/8c72dbf6d494458f95814931175f524c.jpg,9180,4.0,282,woman_clothes
44,45,마켓에이 여성용 디엘 원턱 5부 팬츠 P24SS3-A0326,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/d02jzv0n/c8b62bb0c0494e41a1a9ba7a0238691d.jpg,26900,5.0,13,woman_clothes
45,46,아피나르 스퀘어넥 쉬폰 반팔 원피스,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/664894946492467-8ea8bbd1-ec74-499e-81a6-c014d896694b.jpg,9900,4.5,339,woman_clothes
46,47,여성용 썸머 텐셀 와이드 데님 팬츠 CS313335,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1637521204733423-0c621937-ef30-44e7-8295-9b3f42c58bf4.jpg,29800,5.0,40,woman_clothes
